Timestamp,Heart Rate,RR Interval
1740144223.2021601,143,0.432
1740144223.20221,143,0.424
1740144225.184681,143,0.428
1740144225.184712,143,0.436
1740144225.185508,143,0.424
1740144225.185513,143,0.424
1740144225.185516,143,0.436
1740144226.172239,144,0.42
1740144226.1722722,144,0.428
1740144227.1619442,144,0.428
1740144227.1619709,144,0.42
1740144227.1619751,144,0.424
1740144228.15272,144,0.432
1740144228.152744,144,0.42
1740144229.142535,145,0.424
1740144229.142564,145,0.428
1740144229.142569,145,0.416
1740144230.132798,145,0.424
1740144230.132813,145,0.432
1740144231.1236181,145,0.424
1740144231.123654,145,0.428
1740144232.112301,145,0.428
1740144232.1123352,145,0.42
1740144232.112341,145,0.424
1740144233.1019032,145,0.42
1740144233.1019368,145,0.416
1740144234.095475,146,0.42
1740144234.0955079,146,0.42
1740144234.095513,146,0.416
1740144235.0854511,146,0.42
1740144235.085484,146,0.416
1740144236.0742779,147,0.416
1740144236.074307,147,0.42
1740144236.074311,147,0.412
1740144237.063425,147,0.42
1740144237.063458,147,0.412
1740144238.053927,147,0.416
1740144238.053965,147,0.42
1740144239.042733,148,0.416
1740144239.04277,148,0.42
1740144239.042777,148,0.412
1740144240.035611,148,0.42
1740144240.0356731,148,0.411
1740144241.0228858,148,0.416
1740144241.022919,148,0.412
1740144241.022923,148,0.408
1740144242.01389,148,0.416
1740144242.0139258,148,0.4
1740144243.00427,149,0.408
1740144243.0043101,149,0.404
1740144243.004319,149,0.396
1740144243.992425,151,0.408
1740144243.99245,151,0.392
1740144243.992456,151,0.396
1740144244.9805,152,0.4
1740144244.980514,152,0.392
1740144245.97532,154,0.392
1740144245.9753559,154,0.4
1740144245.975361,154,0.388
1740144246.9648929,155,0.388
1740144246.964965,155,0.396
1740144247.953984,156,0.384
1740144247.954018,156,0.384
1740144247.954022,156,0.388
1740144248.942354,158,0.384
1740144248.9423769,158,0.38
1740144248.942382,158,0.388
1740144249.93607,160,0.38
1740144249.936095,160,0.38
1740144250.9237509,161,0.384
1740144250.9238558,161,0.376
1740144250.923866,161,0.376
1740144251.9132879,162,0.38
1740144251.913314,162,0.376
1740144251.9133172,162,0.368
1740144252.904573,163,0.376
1740144252.9046102,163,0.372
1740144252.904618,163,0.368
1740144253.895282,164,0.372
1740144253.895315,164,0.372
1740144254.885128,165,0.364
1740144254.88516,165,0.352
1740144254.885165,165,0.38
1740144255.872968,166,0.364
1740144255.872997,166,0.364
1740144255.8730009,166,0.356
1740144256.86302,167,0.348
1740144256.863056,167,0.372
1740144256.863064,167,0.356
1740144257.854624,169,0.36
1740144257.8546638,169,0.364
1740144257.854672,169,0.352
1740144258.842487,171,0.356
1740144258.842518,171,0.356
1740144258.8425212,171,0.348
1740144259.832163,172,0.36
1740144259.832172,172,0.351
1740144260.824033,173,0.352
1740144260.824072,173,0.352
1740144260.82408,173,0.348
1740144261.813587,175,0.348
1740144261.813618,175,0.348
1740144261.813622,175,0.332
1740144262.802957,176,0.36
1740144262.802985,176,0.344
1740144262.802989,176,0.344
1740144263.794073,177,0.344
